filename,elapsed_s,ultrasonic_cm
shot_0001_d192cm.jpg,0.0,192.09
shot_0002_d188cm.jpg,0.3,187.7
shot_0003_d178cm.jpg,0.6,178.29
shot_0004_d168cm.jpg,0.9,167.9
shot_0005_dna.jpg,1.21,
shot_0006_d106cm.jpg,1.52,106.01
shot_0007_d140cm.jpg,1.82,140.43
shot_0008_d264cm.jpg,2.12,264.47
shot_0009_d84cm.jpg,2.42,83.69
shot_0010_d80cm.jpg,2.72,79.84
shot_0011_d64cm.jpg,3.02,64.09
shot_0012_d57cm.jpg,3.32,56.58
shot_0013_d81cm.jpg,3.62,81.24
shot_0014_d72cm.jpg,3.92,71.55
shot_0015_d62cm.jpg,4.22,61.5
shot_0016_d53cm.jpg,4.52,52.75
shot_0017_d44cm.jpg,4.82,43.97

