filename,elapsed_s,ultrasonic_cm
shot_0001_d176cm.jpg,0.0,175.74
shot_0002_d109cm.jpg,0.3,109.33
shot_0003_d160cm.jpg,0.6,160.17
shot_0004_d151cm.jpg,0.9,151.07
shot_0005_d135cm.jpg,1.2,135.1
shot_0006_d132cm.jpg,1.5,131.85
shot_0007_d123cm.jpg,1.8,122.54
shot_0008_d112cm.jpg,2.1,112.31
shot_0009_d102cm.jpg,2.4,102.45
shot_0010_d93cm.jpg,2.71,92.85
shot_0011_d84cm.jpg,3.01,83.58
shot_0012_d74cm.jpg,3.31,74.28
shot_0013_d66cm.jpg,3.61,65.59
shot_0014_d57cm.jpg,3.91,56.65
shot_0015_d48cm.jpg,4.21,47.73
shot_0016_d38cm.jpg,4.51,38.12
shot_0017_d30cm.jpg,4.81,29.75
shot_0018_d19cm.jpg,5.11,18.63
