filename,elapsed_s,ultrasonic_cm
shot_0001_d186cm.jpg,0.0,185.6
shot_0002_d181cm.jpg,0.3,180.58
shot_0003_d111cm.jpg,0.6,111.12
shot_0004_d152cm.jpg,0.9,152.18
shot_0005_d153cm.jpg,1.2,152.91
shot_0006_d141cm.jpg,1.5,141.44
shot_0007_d133cm.jpg,1.81,133.28
shot_0008_d124cm.jpg,2.11,124.26
shot_0009_d114cm.jpg,2.41,113.81
shot_0010_d71cm.jpg,2.71,70.54
shot_0011_d59cm.jpg,3.01,58.52
shot_0012_d49cm.jpg,3.31,49.0
shot_0013_d76cm.jpg,3.61,76.45
shot_0014_d69cm.jpg,3.91,68.82
shot_0015_d64cm.jpg,4.21,64.46
shot_0016_d88cm.jpg,4.51,88.12
