filename,elapsed_s,ultrasonic_cm
shot_0001_dna.jpg,0.0,
shot_0002_d227cm.jpg,0.33,226.91
shot_0003_d99cm.jpg,0.63,99.07
shot_0004_d208cm.jpg,0.93,208.36
shot_0005_d197cm.jpg,1.23,196.84
shot_0006_d186cm.jpg,1.53,186.05
shot_0007_d176cm.jpg,1.83,176.32
shot_0008_d166cm.jpg,2.13,166.32
shot_0009_d157cm.jpg,2.44,156.63
shot_0010_d147cm.jpg,2.74,147.48
shot_0011_d138cm.jpg,3.04,138.23
shot_0012_d94cm.jpg,3.34,93.79
shot_0013_d91cm.jpg,3.64,91.28
shot_0014_d75cm.jpg,3.94,75.06
shot_0015_d65cm.jpg,4.24,65.23
shot_0016_d89cm.jpg,4.54,89.35
shot_0017_d80cm.jpg,4.84,80.15
shot_0018_d71cm.jpg,5.14,71.42
shot_0019_d63cm.jpg,5.44,62.87
shot_0020_d55cm.jpg,5.74,54.63
shot_0021_d46cm.jpg,6.04,45.66
shot_0022_d36cm.jpg,6.34,36.48
shot_0023_d26cm.jpg,6.64,25.85
shot_0024_d17cm.jpg,6.94,16.77
