filename,elapsed_s,ultrasonic_cm
shot_0001_d199cm.jpg,0.0,199.21
shot_0002_d193cm.jpg,0.3,193.49
shot_0003_d185cm.jpg,0.6,184.61
shot_0004_d174cm.jpg,0.9,174.27
shot_0005_d126cm.jpg,1.2,125.99
shot_0006_d76cm.jpg,1.5,76.05
shot_0007_d148cm.jpg,1.8,147.72
shot_0008_d137cm.jpg,2.1,137.08
shot_0009_d67cm.jpg,2.4,67.03
shot_0010_d121cm.jpg,2.7,121.23
shot_0011_d66cm.jpg,3.0,66.48
shot_0012_d63cm.jpg,3.31,63.06
shot_0013_d56cm.jpg,3.61,56.03
shot_0014_d46cm.jpg,3.91,45.61
shot_0015_d218cm.jpg,4.21,217.88
shot_0016_d66cm.jpg,4.51,66.49
shot_0017_d17cm.jpg,4.81,16.55
