===== 새 실행 시작: 2026-08-27T14:43:07 (FWD=226, BACK=209.1, sigma_xy_mm=100, sigma_theta_degrees=20) =====
scan=   31 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   32 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   33 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   34 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   35 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.264 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   36 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.075 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   37 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.125 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   38 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   39 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   40 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   41 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.153 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   42 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.157 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   43 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.153 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   44 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   45 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   46 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   47 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   48 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   49 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   50 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.153 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   51 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.158 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   52 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.153 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   53 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   54 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   55 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.157 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   56 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   57 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   58 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   59 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   60 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.158 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
