scan_id,timestamp_unix,timestamp_iso,quality,angle_deg,distance_mm
0,1785115207.403280,2026-07-27T10:20:07.403,9,75.438,6239.50
0,1785115207.403280,2026-07-27T10:20:07.403,11,76.750,6194.50
0,1785115207.403280,2026-07-27T10:20:07.403,8,78.109,6155.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,79.422,6144.50
0,1785115207.403280,2026-07-27T10:20:07.403,11,80.750,6129.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,83.734,2587.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,85.031,2583.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,86.375,2578.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,87.703,2577.75
0,1785115207.403280,2026-07-27T10:20:07.403,15,89.047,2581.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,90.344,2584.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,91.703,2589.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,94.250,3163.50
0,1785115207.403280,2026-07-27T10:20:07.403,15,95.562,3205.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,96.891,3229.50
0,1785115207.403280,2026-07-27T10:20:07.403,15,98.219,3235.75
0,1785115207.403280,2026-07-27T10:20:07.403,15,99.547,3240.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,144.297,1018.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,145.531,1028.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,150.938,989.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,152.312,994.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,155.016,923.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,156.375,933.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,191.469,700.50
0,1785115207.403280,2026-07-27T10:20:07.403,15,192.859,695.75
0,1785115207.403280,2026-07-27T10:20:07.403,15,194.125,698.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,195.453,703.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,196.797,696.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,200.875,669.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,202.109,665.50
0,1785115207.403280,2026-07-27T10:20:07.403,15,203.422,670.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,204.906,682.50
0,1785115207.403280,2026-07-27T10:20:07.403,15,206.188,696.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,207.406,699.75
0,1785115207.403280,2026-07-27T10:20:07.403,15,211.359,751.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,212.719,748.50
0,1785115207.403280,2026-07-27T10:20:07.403,15,213.906,748.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,215.391,749.75
0,1785115207.403280,2026-07-27T10:20:07.403,15,216.547,758.75
0,1785115207.403280,2026-07-27T10:20:07.403,15,217.859,774.50
0,1785115207.403280,2026-07-27T10:20:07.403,15,219.250,786.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,229.781,2928.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,231.109,2870.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,259.594,1238.75
0,1785115207.403280,2026-07-27T10:20:07.403,15,260.969,1233.50
0,1785115207.403280,2026-07-27T10:20:07.403,15,262.266,1233.50
0,1785115207.403280,2026-07-27T10:20:07.403,15,263.594,1233.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,264.891,1231.50
0,1785115207.403280,2026-07-27T10:20:07.403,15,266.266,1231.50
0,1785115207.403280,2026-07-27T10:20:07.403,15,267.625,1232.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,268.953,1233.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,270.234,1235.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,271.547,1238.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,272.891,1246.50
0,1785115207.403280,2026-07-27T10:20:07.403,15,283.422,1210.75
0,1785115207.403280,2026-07-27T10:20:07.403,15,284.797,1206.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,286.062,1211.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,287.359,1233.50
0,1785115207.403280,2026-07-27T10:20:07.403,15,318.547,3640.25
0,1785115207.403280,2026-07-27T10:20:07.403,15,321.156,3861.00
0,1785115207.403280,2026-07-27T10:20:07.403,15,323.797,4176.50
0,1785115207.403280,2026-07-27T10:20:07.403,15,325.141,4266.00
