filename,elapsed_s,ultrasonic_cm
shot_0001_d233cm.jpg,0.0,233.07
shot_0002_d187cm.jpg,0.3,187.21
shot_0003_d219cm.jpg,0.6,218.76
shot_0004_d61cm.jpg,0.9,61.27
shot_0005_d59cm.jpg,1.2,58.88
shot_0006_d188cm.jpg,1.5,188.01
shot_0007_d91cm.jpg,1.8,91.49
shot_0008_d75cm.jpg,2.1,74.61
shot_0009_d160cm.jpg,2.4,159.86
shot_0010_d151cm.jpg,2.7,150.92
shot_0011_d57cm.jpg,3.01,57.33
shot_0012_d98cm.jpg,3.31,98.47
shot_0013_d83cm.jpg,3.61,83.22
shot_0014_d74cm.jpg,3.91,73.62
shot_0015_d65cm.jpg,4.21,65.05
shot_0016_d55cm.jpg,4.51,54.88
shot_0017_d46cm.jpg,4.81,45.55
shot_0018_d38cm.jpg,5.11,37.86
shot_0019_d64cm.jpg,5.41,63.77
shot_0020_d17cm.jpg,5.71,16.64
shot_0021_d10cm.jpg,6.01,10.39
