filename,elapsed_s,ultrasonic_cm
shot_0001_d144cm.jpg,0.0,144.24
shot_0002_d59cm.jpg,0.3,58.56
shot_0003_d99cm.jpg,0.6,98.76
shot_0004_d120cm.jpg,0.9,119.75
shot_0005_d93cm.jpg,1.2,92.68
shot_0006_d100cm.jpg,1.5,100.0
shot_0007_d68cm.jpg,1.8,67.72
shot_0008_d81cm.jpg,2.1,80.88
shot_0009_d61cm.jpg,2.4,60.53
shot_0010_d59cm.jpg,2.7,59.09
shot_0011_d55cm.jpg,3.0,54.67
shot_0012_d45cm.jpg,3.31,45.07
shot_0013_d37cm.jpg,3.61,36.78
shot_0014_d26cm.jpg,3.91,26.44
shot_0015_d16cm.jpg,4.21,16.35
