filename,elapsed_s,ultrasonic_cm
shot_0001_d170cm.jpg,0.0,170.04
shot_0002_d227cm.jpg,0.35,226.55
shot_0003_d153cm.jpg,0.65,153.44
shot_0004_d89cm.jpg,0.95,88.61
shot_0005_d198cm.jpg,1.25,198.43
shot_0006_d187cm.jpg,1.55,186.8
shot_0007_d177cm.jpg,1.85,177.22
shot_0008_d62cm.jpg,2.15,61.93
shot_0009_d158cm.jpg,2.45,157.69
shot_0010_d149cm.jpg,2.75,148.95
shot_0011_d107cm.jpg,3.06,106.59
shot_0012_d130cm.jpg,3.36,129.7
shot_0013_d121cm.jpg,3.66,120.51
shot_0014_d110cm.jpg,3.96,110.46
shot_0015_d64cm.jpg,4.26,64.39
shot_0016_d92cm.jpg,4.56,91.99
shot_0017_d82cm.jpg,4.86,82.43
shot_0018_d74cm.jpg,5.16,73.53
shot_0019_d65cm.jpg,5.46,64.91
shot_0020_d56cm.jpg,5.76,56.34
shot_0021_d48cm.jpg,6.06,47.85
shot_0022_d39cm.jpg,6.36,38.96
shot_0023_d29cm.jpg,6.66,29.14
shot_0024_d20cm.jpg,6.96,19.5
shot_0025_d10cm.jpg,7.26,10.03
