filename,elapsed_s,ultrasonic_cm
shot_0001_d266cm.jpg,0.0,265.5
shot_0002_d260cm.jpg,0.3,259.76
shot_0003_d58cm.jpg,0.6,57.69
shot_0004_d109cm.jpg,0.9,109.11
shot_0005_d232cm.jpg,1.2,232.17
shot_0006_d223cm.jpg,1.5,223.01
shot_0007_d215cm.jpg,1.8,215.28
shot_0008_d143cm.jpg,2.1,143.15
shot_0009_d170cm.jpg,2.4,169.8
shot_0010_d123cm.jpg,2.7,123.1
shot_0011_d175cm.jpg,3.0,175.28
shot_0012_d92cm.jpg,3.31,92.24
shot_0013_d101cm.jpg,3.61,100.98
shot_0014_d145cm.jpg,3.91,145.37
shot_0015_d136cm.jpg,4.21,135.6
shot_0016_d127cm.jpg,4.51,126.56
shot_0017_d103cm.jpg,4.81,103.36
shot_0018_d74cm.jpg,5.11,73.58
shot_0019_d61cm.jpg,5.41,61.18
shot_0020_d51cm.jpg,5.71,50.98
shot_0021_d44cm.jpg,6.01,43.67
shot_0022_d69cm.jpg,6.31,69.43
shot_0023_d61cm.jpg,6.61,60.72
shot_0024_d170cm.jpg,6.91,169.91
