filename,elapsed_s,ultrasonic_cm
shot_0001_d212cm.jpg,0.0,211.71
shot_0002_d140cm.jpg,0.3,139.92
shot_0003_d85cm.jpg,0.6,85.45
shot_0004_d202cm.jpg,0.9,202.4
shot_0005_d177cm.jpg,1.21,176.63
shot_0006_d63cm.jpg,1.51,62.59
shot_0007_d173cm.jpg,1.81,172.91
shot_0008_d164cm.jpg,2.11,164.09
shot_0009_d67cm.jpg,2.41,67.21
shot_0010_d145cm.jpg,2.71,144.77
shot_0011_d125cm.jpg,3.02,125.14
shot_0012_d126cm.jpg,3.32,126.28
shot_0013_d116cm.jpg,3.62,116.08
shot_0014_d73cm.jpg,3.92,72.89
shot_0015_d60cm.jpg,4.22,60.06
shot_0016_d86cm.jpg,4.52,86.4
shot_0017_d78cm.jpg,4.82,77.67
shot_0018_d69cm.jpg,5.12,69.14
shot_0019_d61cm.jpg,5.42,60.96
shot_0020_d53cm.jpg,5.72,52.95
shot_0021_d45cm.jpg,6.02,44.73
shot_0022_d36cm.jpg,6.32,35.7
shot_0023_d25cm.jpg,6.62,24.78
shot_0024_d16cm.jpg,6.92,16.04
