filename,elapsed_s,ultrasonic_cm
shot_0001_d135cm.jpg,0.0,135.13
shot_0002_d109cm.jpg,0.3,108.93
shot_0003_d121cm.jpg,0.6,121.29
shot_0004_d111cm.jpg,0.9,111.46
shot_0005_d102cm.jpg,1.2,101.58
shot_0006_d92cm.jpg,1.5,92.1
shot_0007_d83cm.jpg,1.8,82.61
shot_0008_d73cm.jpg,2.1,73.17
shot_0009_d64cm.jpg,2.4,63.63
shot_0010_d56cm.jpg,2.7,55.87
shot_0011_d48cm.jpg,3.0,48.48
shot_0012_d39cm.jpg,3.31,38.87
shot_0013_d29cm.jpg,3.61,28.79
shot_0014_d20cm.jpg,3.91,19.78
shot_0015_d11cm.jpg,4.21,10.69
